accidentDate;accidentTime;accidentDay;settlementType;settlement;district;streetType;streetName;houseNumber;locationComments;accidentType;mainAccidentCause;totalParticipantsAmount;injuryStatusParticipant1;injuryStatusParticipant2;latitude;longitude
2023-09-01;16:10:00;п'ятниця;місто;Львів;Франківський;вулиця;Рубчака І.;14;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.80599;24.01246
2023-09-25;22:30:00;понеділок;місто;Львів;Сихівський;проспект;Червоної Калини, просп.;103;null;наїзд на велосипедиста - поза межами велосипедної доріжки;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;49.785902;24.059461
2023-09-07;7:20:00;четвер;місто;Львів;Франківський;вулиця;Наукова;61;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.805283;23.983943
2023-11-26;17:21:00;неділя;місто;Львів;Сихівський;вулиця;Сихівська;null;вул. Сихівська - вул. Кавалерідзе І.;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.79455;24.064136
2023-11-18;14:48:00;субота;місто;Львів;Сихівський;вулиця;Зелена;371;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил проїзду перехресть;2;без ушкоджень;легко травмований;49.791779;24.074258
2023-11-05;15:20:00;неділя;місто;Львів;Шевченківський;вулиця;Лінкольна А.;null;вул. Лінкольна А. - вул. Цісик К.;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування, порушення правил обгону;2;без ушкоджень;легко травмований;49.86649;24.039534
2023-11-07;12:40:00;вівторок;місто;Львів;Франківський;вулиця;Княгині Ольги;null;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;49.804241;23.997178
2023-01-02;14:34:00;понеділок;місто;Львів;Сихівський;вулиця;Зубрівська;11;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.797756;24.062489
2023-01-02;17:30:00;понеділок;місто;Львів;Франківський;вулиця;Музики Я.;39;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил проїзду перехресть;2;без ушкоджень;легко травмований;49.814488;24.001458
2023-05-24;16:44:00;середа;селище;Рудне;Залізничний;вулиця;Грушевського М.;117;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;тяжко травмований;49.838474;23.861645
2023-05-13;10:54:00;субота;село;Зашків;Шевченківський;вулиця;Коновальця Є.;114;null;наїзд на велосипедиста - поза межами велосипедної доріжки;перевищення безпечної швидкості, недодержання дистанції;2;без ушкоджень;легко травмований;49.954478;23.997145
2023-05-11;11:40:00;четвер;місто;Львів;Личаківський;вулиця;Хмельницького Б.;176;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.8555;24.045119
2023-05-28;11:14:00;неділя;місто;Львів;Шевченківський;вулиця;Шевченка Т.;200б;null;наїзд на велосипедиста - на велосипедній доріжці;порушення правил маневрування;2;легко травмований;легко травмований;49.858619;23.973997
2023-05-25;18:15:00;четвер;місто;Львів;Залізничний;вулиця;Городоцька;249;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;недодержання дистанції, порушення правил маневрування;2;без ушкоджень;легко травмований;49.830491;23.96896
2023-05-27;19:56:00;субота;місто;Львів;Сихівський;проспект;Святого Івана Павла ІІ, просп.;1;null;наїзд на велосипедиста - поза межами велосипедної доріжки;порушення правил маневрування;2;без ушкоджень;легко травмований;49.801904;24.046197
2023-05-18;15:28:00;четвер;місто;Львів;Сихівський;проспект;Святого Івана Павла ІІ, просп.;23г;null;наїзд на велосипедиста - поза межами велосипедної доріжки;порушення правил маневрування;2;без ушкоджень;помер на місці дтп;49.801385;24.025109
2023-05-22;17:30:00;понеділок;місто;Львів;Шевченківський;вулиця;Промислова;null;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.859511;24.044716
2023-05-27;12:01:00;субота;місто;Львів;Сихівський;проспект;Святого Івана Павла ІІ, просп.;5;null;наїзд на велосипедиста - поза межами велосипедної доріжки;недодержання дистанції, перевищення безпечної швидкості;2;без ушкоджень;легко травмований;49.801932;24.021016
2023-08-25;12:05:00;п'ятниця;місто;Львів;Шевченківський;проспект;Чорновола В., просп.;45;null;наїзд на велосипедиста - поза межами велосипедної доріжки;невиконання вимог сигналів регулювання;2;без ушкоджень;легко травмований;49.85266;24.023479
2023-08-17;15:20:00;четвер;місто;Львів;Залізничний;вулиця;Чорнобаївська;29;null;наїзд на велосипедиста - поза межами велосипедної доріжки;порушення правил маневрування;2;без ушкоджень;легко травмований;49.819528;23.969244
2023-08-15;13:50:00;вівторок;місто;Львів;Шевченківський;вулиця;Липинського В.;58;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил проїзду перехресть;2;без ушкоджень;легко травмований;49.865238;24.048509
2023-08-23;8:35:00;середа;місто;Львів;Франківський;вулиця;Кульпарківська;141;null;наїзд на велосипедиста - на велосипедній доріжці;порушення правил маневрування;2;без ушкоджень;легко травмований;49.8046;23.98183
